relative_time [ms],Bfield [microteslas]
0,326.356925
36,326.6345489
103,327.4500514
169,327.6994083
236,328.0573363
303,328.3053067
369,328.1632289
436,328.3503592
503,329.1347675
569,330.3527904
636,331.8263456
703,333.8742982
769,335.9366248
836,339.0064593
903,341.7924936
969,344.7145445
1036,349.5826426
1103,356.7312364
1169,363.5314539
1236,367.5162184
1303,369.2047228
1369,374.9613971
1436,381.1917485
1503,386.0182584
1569,391.3066139
1636,394.1112623
1702,395.0153864
1769,394.8370539
1836,393.6568123
1902,391.8117289
1969,392.032872
2035,393.1802001
2102,394.9107689
2169,397.7492319
2236,401.006786
2303,402.5324794
2369,405.711264
2436,409.1537107
2502,412.3841289
2569,417.7852947
2636,422.7546012
2703,431.8519078
2769,444.0723877
2836,456.8294468
2903,474.6792619
2969,495.8429156
3036,517.017773
3103,544.7299105
3169,576.3415821
3236,606.0543151
3303,643.3948637
3369,685.3776959
3436,722.5721837
3503,769.8508697
3569,811.5831199
3636,865.1044902
3703,926.6863279
3769,985.2206884
3836,1060.715594
3903,1142.544777
3969,1218.238692
4036,1310.816492
4103,1408.374262
4169,1494.015196
4236,1601.004333
4303,1724.409674
4369,1842.631946
4436,1990.560909
4502,2142.047268
4569,2264.740325
4636,2333.675382
4703,2346.660665
4769,2356.520303
4836,2364.918903
4902,2373.95079
4969,2376.951671
5036,2383.522502
5103,2395.60544
5169,2410.735114
5236,2405.562905
5303,2396.07942
5369,2475.739954
5436,2527.1772
5502,2499.229151
5569,2482.95144
5636,2476.297692
5703,2456.281909
5769,2423.537229
5836,2367.547431
5903,2327.161219
5969,2298.659266
6035,2286.12086
6103,2281.426639
6169,2280.105262
6236,2283.087011
6303,2285.126126
6369,2286.581761
6436,2290.001179
6503,2295.044738
6569,2299.036206
6636,2302.439536
6703,2300.301612
6769,2294.917241
6836,2498.931446
6903,2481.164045
6969,2455.867013
7036,2444.674309
7102,2437.880705
7169,2430.712094
7236,2387.581929
7303,2226.177588
7369,2077.346026
7436,1987.456037
7503,1908.080337
7569,1832.051923
7636,1759.309398
7703,1665.521673
7769,1581.790956
7836,1541.433913
7903,1455.418969
7969,1378.714693
8036,1309.634962
8102,1240.519107
8169,1180.564371
8236,1126.469243
8303,1065.649039
8369,1017.51868
8436,983.8676473
8502,951.8144879
8569,918.0868516
8636,886.5457873
8703,846.8926721
8769,815.3956036
8836,783.2979216
8903,751.6947294
8969,725.7621308
9036,697.724844
9103,675.4664289
9169,659.7265197
9236,641.2883156
9303,622.2353806
9369,606.584727
9436,593.6217967
9503,580.2166488
9569,567.5762449
9636,553.9678782
9703,541.3600244
9769,531.3844818
9837,520.5059362
9903,510.1720658
9969,500.1033667
10037,488.8240826
10102,483.3873812
10170,478.2413262
10236,471.4589278
10302,465.3842842
10369,459.9596111
10436,455.8237088
10503,451.4236863
10569,445.2441035
10636,440.9780291
10703,437.6375828
10769,435.0326716
10836,431.3706447
10902,427.9216897
10969,425.2514497
11036,422.9644542
11103,420.2074172
11169,418.3192118
11236,417.2065448
11303,416.1627404
11369,415.7280778
11436,414.5620416
11503,413.2642899
11569,412.4316791
11636,411.7866587
11703,410.3470801
11769,409.2130428
11836,408.1593633
11903,407.9054589
11969,407.9361425
12036,407.5617708
12103,407.1014926
12169,407.213581
12236,406.6057046
12303,406.3957736
12369,406.093593
12436,405.6274171
12503,404.7010243
12569,403.7127892
12636,403.2466633
12703,403.0443317
12769,402.8107167
12836,401.9709168
12903,401.8072749
12969,401.4512518
13036,401.4356756
13103,401.5619628
13169,401.4045079
13236,401.6741109
13303,400.9323326